parameter_name,Cholesterol ratio
gene_symbol,Slc17a9
gene_accession_id,MGI:1919107
parameter_id,IMPC_CBC_058_001
analysis_id,cw1kjgvroczobok
pvalue,0.8219175
mouse_life_stage,Early adult
mouse_strain,C57BL
