analysis_id,5m5qf5u0t6a70d2
gene_symbol,Col6a3
mouse_strain,C57BL
parameter_name,Global prepulse inhibition
pvalue,0.4736747
parameter_id,ESLIM_011_001_705
gene_accession_id,MGI:88461
mouse_life_stage,Early adult
