analysis_id,v6g093z7550guf0
parameter_name,Number of rears - total
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Ubxn11
gene_accession_id,MGI:1914836
pvalue,0.3283592
parameter_id,IMPC_OFD_021_001
