gene_symbol,Rab17
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:104640
parameter_id,IMPC_IMM_064_001
analysis_id,e0f9ad39ab3ns9s
parameter_name,B1B Cells
pvalue,0.6462824
