gene_symbol,Extl1
mouse_strain,C57BL
gene_accession_id,MGI:1888742
analysis_id,315771tgk37h8c2
parameter_id,JAX_OFD_016_001
pvalue,0.3388714
mouse_life_stage,Early adult
parameter_name,Center permanence time
