gene_symbol,Pex19
gene_accession_id,MGI:1334458
mouse_life_stage,E18.5
mouse_strain,C57BL
analysis_id,e160yh1qo53ll2u
parameter_id,IMPC_DXA_004_001
parameter_name,Bone Mineral Density (excluding skull)
pvalue,0.07630375
