parameter_name,Haemoglobin
gene_symbol,Lpgat1
mouse_life_stage,Early adult
analysis_id,306fy99zs6o826e
pvalue,0.5549876
mouse_strain,C57BL
parameter_id,ESLIM_016_001_003
gene_accession_id,MGI:2446186
