parameter_name,Tibia length
gene_symbol,Mapkap1
mouse_life_stage,E15.5
parameter_id,TCPLA_XRY_033_001
analysis_id,4nd4256osg1onxs
gene_accession_id,MGI:2444554
mouse_strain,C57BL
pvalue,0.71965
