parameter_id,IMPC_ACS_034_001
parameter_name,% Pre-pulse inhibition - PPI2
mouse_life_stage,Late adult
pvalue,0.2891441
gene_symbol,Hpca
analysis_id,8e3uy3983o902bf
gene_accession_id,MGI:1336200
mouse_strain,C57BL
