parameter_id,JAXLA_CSD_021_001
analysis_id,2p1u108v5zrzyr5
parameter_name,Hindlimbs - shape
mouse_strain,C57BL
gene_accession_id,MGI:1924054
gene_symbol,Kdm4c
pvalue,0.938059
mouse_life_stage,Early adult
