analysis_id,79bq9i3a6c254zg
pvalue,1.370384
gene_accession_id,MGI:1917810
gene_symbol,Wars2
mouse_strain,C57BL
parameter_name,Hindpaw - size
mouse_life_stage,E12.5
parameter_id,JAXLA_CSD_041_002
