analysis_id,65nio7528qvc3r4
mouse_strain,129SV
mouse_life_stage,Early adult
parameter_name,Follicular B Cells (CD21/35+)
gene_accession_id,MGI:1918025
parameter_id,IMPC_IMM_067_001
gene_symbol,Zmynd8
pvalue,0.5900609
