analysis_id,7r246y6h605p9v2
mouse_strain,C57BL
gene_accession_id,MGI:1914309
parameter_id,JAX_SLW_014_001
parameter_name,Breath rate during sleep standard deviation
pvalue,0.5225251
mouse_life_stage,Early adult
gene_symbol,Ola1
