analysis_id,1o0980k9xn2654q
gene_accession_id,MGI:1917810
parameter_name,Body length
mouse_life_stage,E12.5
mouse_strain,C57BL
pvalue,0.603096
parameter_id,IMPC_DXA_006_001
gene_symbol,Wars2
