parameter_name,Percent time in light
gene_accession_id,MGI:1338022
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.0776505
analysis_id,ct99z264k3mo28r
parameter_id,JAX_LDT_009_001
gene_symbol,Opn3
