analysis_id,t2pk1fj9ss8gl02
parameter_id,IMPC_DXA_010_001
gene_symbol,Trp53rkb
parameter_name,Bone Area
pvalue,0.5457335
gene_accession_id,MGI:1914050
mouse_life_stage,Early adult
mouse_strain,C57BL
