gene_symbol,Car13
pvalue,0.5910483
parameter_name,Blood Vessel Morphology
mouse_strain,C57BL
gene_accession_id,MGI:1931322
analysis_id,mje2e6d91owg853
mouse_life_stage,Early adult
parameter_id,IMPC_GEO_011_001
