gene_symbol,Lcn2
pvalue,0.4675925
analysis_id,55s8z7x7mp0vw57
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_DXA_010_001
parameter_name,Bone Area
gene_accession_id,MGI:96757
