parameter_name,Pale yolk sac
mouse_life_stage,E15.5
pvalue,0.2894876
gene_symbol,Mecom
mouse_strain,C57BL
analysis_id,n611xm50qlbo64v
gene_accession_id,MGI:95457
parameter_id,IMPC_GEL_017_002
