parameter_name,center - resting time
pvalue,0.7188557
gene_accession_id,MGI:1918025
parameter_id,M-G-P_007_001_011
mouse_life_stage,Early adult
mouse_strain,129SV
analysis_id,umb6qzg28xo2uu6
gene_symbol,Zmynd8
