mouse_life_stage,Middle aged adult
parameter_id,IMPC_CSD_012_001
mouse_strain,C57BL
analysis_id,0x93b39945v44uh
gene_accession_id,MGI:2446274
pvalue,0.3067518
parameter_name,Coat - hair distribution - head
gene_symbol,Frmpd1
