analysis_id,1er3pvalxp419ip
mouse_strain,C57BL
parameter_name,MZB (CD21/35 high)
pvalue,0.0967339
gene_symbol,AU040320
mouse_life_stage,Middle aged adult
parameter_id,IMPC_IMM_071_001
gene_accession_id,MGI:2140475
