parameter_name,Tibia
mouse_life_stage,E12.5
pvalue,0.3317947
gene_symbol,Fgb
mouse_strain,C57BL
analysis_id,uh08nyt21e9f762
parameter_id,IMPC_XRY_025_001
gene_accession_id,MGI:99501
