analysis_id,m926065t3e965a7
mouse_life_stage,Middle aged adult
gene_accession_id,MGI:2446186
gene_symbol,Lpgat1
mouse_strain,C57BL
parameter_name,Resting Treg cells - % of CD45+
pvalue,0.5983456
parameter_id,MGP_MLN_071_001
