parameter_name,Aggression
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:2444113
parameter_id,IMPC_CSD_079_001
pvalue,0.5080108
gene_symbol,Nemp2
analysis_id,7cor02613t1d356
