parameter_name,Lean/Body weight
mouse_life_stage,Early adult
analysis_id,71k91ryoxpg3037
pvalue,0.8883023
parameter_id,ESLIM_005_001_702
mouse_strain,C57BL
gene_symbol,Sprr1b
gene_accession_id,MGI:106659
