analysis_id,s1k4t0hj78963ep
pvalue,0.4705565
gene_accession_id,MGI:1914071
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,MGP_PBI_034_001
parameter_name,B cell number
gene_symbol,Bcs1l
