analysis_id,271136an1x4s91j
mouse_life_stage,Early adult
pvalue,1.136183
parameter_id,MGP_PBI_015_001
parameter_name,IgD+ mature B cell percentage
gene_symbol,Inpp1
mouse_strain,129SV
gene_accession_id,MGI:104848
