analysis_id,05ad0n732uvtfe6
parameter_id,MGP_CSD_064_001
mouse_life_stage,Early adult
pvalue,0.7905583
parameter_name,Head morphology
gene_symbol,Ddx27
mouse_strain,129SV
gene_accession_id,MGI:2385884
