analysis_id,x2390fhbs2ncg48
gene_accession_id,MGI:1929242
pvalue,0.7141256
mouse_life_stage,Early adult
parameter_name,% Pre-pulse inhibition - Global
parameter_id,IMPC_ACS_037_001
gene_symbol,Ivd
mouse_strain,C53BL
