gene_symbol,Sgip1
parameter_id,MGP_IMM_081_001
parameter_name,Effector CD8+ T cells - % of CD45+
gene_accession_id,MGI:1920344
pvalue,0.7744
mouse_strain,C57BL
analysis_id,x6ycv0k8d5t30d4
mouse_life_stage,Early adult
