analysis_id,6kz49mtr4r438i6
parameter_id,IMPC_CSD_007_001
gene_accession_id,MGI:1921688
mouse_life_stage,Early adult
gene_symbol,Clvs1
mouse_strain,C57BL
pvalue,0.6337665
parameter_name,Coat - color - abdomen
