analysis_id,2632l0829p77hu7
parameter_name,Tibia length
parameter_id,TCPLA_XRY_033_001
pvalue,0.7777605
gene_symbol,Nanp
mouse_strain,C57BL
gene_accession_id,MGI:1914561
mouse_life_stage,E18.5
