analysis_id,43qmjjf4dz011tl
gene_accession_id,MGI:3026886
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,MGP_PBI_004_001
gene_symbol,Cdin1
parameter_name,CD8+ alpha beta T cell percentage
pvalue,0.367306
