gene_symbol,Tbl1xr1
pvalue,0.4997217
analysis_id,8y4fwm66v0h52gu
parameter_id,MGP_MLN_009_001
gene_accession_id,MGI:2441730
mouse_strain,C57BL
parameter_name,Effector Treg cells - % of Treg
mouse_life_stage,Early adult
