analysis_id,aso21a6ee8no4h2
mouse_life_stage,Early adult
gene_symbol,Casq1
mouse_strain,C57BL
pvalue,0.2933259
parameter_id,MGP_CSD_030_001
gene_accession_id,MGI:1309468
parameter_name,Limb coat/hair presence
