gene_symbol,Dnaaf9
parameter_name,KLRG1+ NK cells - % of CD45+
pvalue,0.8194404
analysis_id,815g4hpui9374xe
mouse_life_stage,Early adult
parameter_id,MGP_MLN_093_001
gene_accession_id,MGI:1923029
mouse_strain,C57BL
