analysis_id,1bg76ga5b9s870v
parameter_name,Basophil differential count
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
parameter_id,IMPC_HEM_038_001
gene_accession_id,MGI:2140475
gene_symbol,AU040320
pvalue,0.4004815
