analysis_id,7ka7m8937w90r89
parameter_id,JAXLA_DXA_003_001
mouse_strain,C57BL
parameter_name,Lean mass
gene_symbol,Rnf114
gene_accession_id,MGI:1933159
mouse_life_stage,Early adult
pvalue,0.1055417
