parameter_id,MGP_MLN_071_001
analysis_id,37f9wo0d818tzd4
pvalue,0.6316805
parameter_name,Resting Treg cells - % of CD45+
mouse_life_stage,Early adult
gene_accession_id,MGI:2441730
mouse_strain,C57BL
gene_symbol,Tbl1xr1
