analysis_id,9q7f9146bricc15
gene_symbol,Psd4
pvalue,0.1774528
parameter_name,Contact righting
mouse_strain,C57BL
gene_accession_id,MGI:2674093
parameter_id,JAXLA_CSD_077_001
mouse_life_stage,Early adult
