analysis_id,6m5589141wu747x
pvalue,0.4168217
mouse_strain,C57BL
gene_accession_id,MGI:99501
parameter_name,Coat - color pattern - back
gene_symbol,Fgb
mouse_life_stage,E15.5
parameter_id,HRWLLA_CSD_008_001
