parameter_name,Anophthalmia
analysis_id,3lgyk9751193d25
parameter_id,IMPC_GEO_048_002
pvalue,0.731242
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Dcaf12
gene_accession_id,MGI:1916220
