gene_symbol,Ifi44
parameter_id,IMPC_ECG_004_001
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,07xu1u65phlw3mc
gene_accession_id,MGI:2443016
parameter_name,RR
pvalue,0.6710616
