gene_symbol,Ifi44
analysis_id,v0j4lrl7si1dq3z
pvalue,0.3722878
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Heart weight
parameter_id,HMGULA_HWT_008_001
gene_accession_id,MGI:2443016
