parameter_id,IMPC_IPG_010_001
gene_symbol,Dnajc6
parameter_name,Fasted blood glucose concentration
pvalue,0.9854406
analysis_id,0w419i429945m31
gene_accession_id,MGI:1919935
mouse_strain,C57BL
mouse_life_stage,Early adult
