parameter_name,LVIDd
analysis_id,l7mm80536q92rb3
mouse_life_stage,Early adult
gene_symbol,Gja10
gene_accession_id,MGI:1339969
mouse_strain,C57BL
pvalue,0.1191201
parameter_id,IMPC_ECH_008_001
