gene_symbol,Stk35
parameter_name,Macrophages - % of CD45+
pvalue,0.9198412
gene_accession_id,MGI:1914583
analysis_id,9eo9kf7ahxxpzm2
mouse_strain,C57BL
parameter_id,MGP_IMM_121_001
mouse_life_stage,Early adult
