gene_symbol,Nr0b2
pvalue,0.9051738
analysis_id,u2k3byo21px0955
gene_accession_id,MGI:1346344
mouse_life_stage,Early adult
mouse_strain,B6J
parameter_id,MGP_MLN_014_001
parameter_name,Resting CD8+ T cells - % of CD8+
