gene_symbol,Dhdds
mouse_strain,C57BL
analysis_id,52l8lk39ml012i5
parameter_id,IMPC_EYE_016_001
gene_accession_id,MGI:1914672
pvalue,0.1968232
parameter_name,Lens
mouse_life_stage,Early adult
