parameter_id,IMPC_XRY_033_001
pvalue,0.4259616
parameter_name,Tibia length
analysis_id,b415jic5q58q9fc
gene_symbol,Exd1
mouse_life_stage,Early adult
gene_accession_id,MGI:3045306
mouse_strain,C57BL
