analysis_id,ik79yr949r4vr12
gene_accession_id,MGI:1917604
mouse_strain,C57BL
parameter_name,PP1 startle magnitude
gene_symbol,Secisbp2l
parameter_id,ESLIM_011_001_002
pvalue,0.9179843
mouse_life_stage,Early adult
