analysis_id,786lc70jdj51936
pvalue,0.8761255
parameter_name,Embryo turning
gene_accession_id,MGI:894679
mouse_life_stage,Early adult
gene_symbol,Bach2
parameter_id,IMPC_GEL_011_001
mouse_strain,C57BL
