parameter_name,NK Subsets (Q2)
mouse_life_stage,Middle aged adult
parameter_id,IMPC_IMM_055_001
mouse_strain,C57BL
gene_symbol,Slc30a4
pvalue,0.9131588
analysis_id,21j97027054em7s
gene_accession_id,MGI:1345282
