analysis_id,1wc4n53r5s6kc75
mouse_life_stage,Early adult
parameter_name,CD11b-high cDC - % of CD45+
mouse_strain,C57BL
gene_symbol,Maco1
pvalue,0.5016833
gene_accession_id,MGI:1913396
parameter_id,MGP_IMM_129_001
