analysis_id,0q6n9ct32lmkk58
parameter_name,CD11b-low cDC - % of cDC
pvalue,0.1429499
gene_accession_id,MGI:1914071
parameter_id,MGP_IMM_067_001
mouse_life_stage,E9.5
gene_symbol,Bcs1l
mouse_strain,C57BL
