parameter_id,HRWLLA_CBC_014_001
gene_accession_id,MGI:3026886
analysis_id,bps5d68x5wmf22l
mouse_life_stage,Early adult
pvalue,0.602532
parameter_name,Alkaline phosphatase
gene_symbol,Cdin1
mouse_strain,C57BL
