analysis_id,fo6r87r5sdb972q
parameter_name,Cholesterol ratio
gene_accession_id,MGI:1345282
gene_symbol,Slc30a4
mouse_strain,C57BL
parameter_id,IMPC_CBC_058_001
mouse_life_stage,Late adult
pvalue,0.9504246
