gene_symbol,Lime1
analysis_id,xixel1m62kl665v
mouse_life_stage,Early adult
parameter_id,MGP_IMM_027_001
parameter_name,Resting CD4- NKT cells - % of CD4- NKT cells
pvalue,0.9349863
gene_accession_id,MGI:1919949
mouse_strain,C57BL
