analysis_id,08cab4y9c138k06
parameter_id,IMPC_EYE_017_001
gene_symbol,Fpgs
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.2859587
gene_accession_id,MGI:95576
parameter_name,Lens Opacity
