gene_symbol,Rufy4
pvalue,0.5882447
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,M-G-P_005_001_001
analysis_id,2uw43dgypol7fu0
gene_accession_id,MGI:3588214
parameter_name,Weight
