analysis_id,60066x37s35k4c4
parameter_id,IMPC_CBC_010_001
pvalue,0.7945685
parameter_name,Phosphorus
gene_symbol,Extl1
gene_accession_id,MGI:1888742
mouse_life_stage,Early adult
mouse_strain,C57BL
