analysis_id,tdxay4ye5ak5p34
pvalue,0.221721
gene_symbol,Tnfsf8
parameter_id,M-G-P_007_001_011
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,center - resting time
gene_accession_id,MGI:88328
