analysis_id,2v7x0mz8693kpor
mouse_life_stage,Middle aged adult
gene_symbol,Hpca
gene_accession_id,MGI:1336200
parameter_id,IMPC_IMM_025_001
pvalue,0.9055129
parameter_name,DN CD25- NKT cells
mouse_strain,C57BL
